timestamp,X,Y,Z,timestamp2,esito_positivo,esito_negativo
1488940653,8183,2030,8183,1488940753,2,0
1488940653,8183,2030,8183,1488940756,2,0
1488940653,8183,2030,8183,1488940759,2,0
1488940653,8183,2030,8183,1488940763,2,0
1488940654,2030,8183,2030,1488940689,2,0
1488940654,2030,8183,2030,1488940740,2,0
1488940654,2030,8183,2030,1488940771,2,0
1488940660,2030,8183,2030,1488940689,2,0
1488940660,2030,8183,2030,1488940740,2,0
1488940660,2030,8183,2030,1488940771,2,0
1488940663,2030,8183,2030,1488940689,2,0
1488940663,2030,8183,2030,1488940740,2,0
1488940663,2030,8183,2030,1488940771,2,0
1488940667,2030,8183,2030,1488940689,2,0
1488940667,2030,8183,2030,1488940740,2,0
1488940667,2030,8183,2030,1488940771,2,0
1488940670,2030,8183,2030,1488940689,2,0
1488940670,2030,8183,2030,1488940740,2,0
1488940670,2030,8183,2030,1488940771,2,0
1488940674,2030,8183,2030,1488940689,2,0
1488940674,2030,8183,2030,1488940740,2,0
1488940674,2030,8183,2030,1488940771,2,0
1488940677,2030,8183,2030,1488940689,2,0
1488940677,2030,8183,2030,1488940740,2,0
1488940677,2030,8183,2030,1488940771,2,0
1488940680,2030,8183,2030,1488940689,2,0
1488940680,2030,8183,2030,1488940740,2,0
1488940680,2030,8183,2030,1488940771,2,0
1488940689,8183,2030,8183,1488940705,2,0
1488940689,8183,2030,8183,1488940708,2,0
1488940689,8183,2030,8183,1488940711,2,0
1488940689,8183,2030,8183,1488940715,2,0
1488940689,8183,2030,8183,1488940718,2,0
1488940689,8183,2030,8183,1488940723,2,0
1488940689,8183,2030,8183,1488940726,2,0
1488940689,8183,2030,8183,1488940729,2,0
1488940689,8183,2030,8183,1488940743,2,0
1488940689,8183,2030,8183,1488940747,2,0
1488940689,8183,2030,8183,1488940750,2,0
1488940689,8183,2030,8183,1488940753,2,0
1488940689,8183,2030,8183,1488940756,2,0
1488940689,8183,2030,8183,1488940759,2,0
1488940689,8183,2030,8183,1488940763,2,0
1488940705,2030,8183,2030,1488940740,2,0
1488940705,2030,8183,2030,1488940771,2,0
1488940708,2030,8183,2030,1488940740,2,0
1488940708,2030,8183,2030,1488940771,2,0
1488940711,2030,8183,2030,1488940740,2,0
1488940711,2030,8183,2030,1488940771,2,0
1488940715,2030,8183,2030,1488940740,2,0
1488940715,2030,8183,2030,1488940771,2,0
1488940718,2030,8183,2030,1488940740,2,0
1488940718,2030,8183,2030,1488940771,2,0
1488940723,2030,8183,2030,1488940740,2,0
1488940723,2030,8183,2030,1488940771,2,0
1488940726,2030,8183,2030,1488940740,2,0
1488940726,2030,8183,2030,1488940771,2,0
1488940729,2030,8183,2030,1488940740,2,0
1488940729,2030,8183,2030,1488940771,2,0
1488940740,8183,2030,8183,1488940743,2,0
1488940740,8183,2030,8183,1488940747,2,0
1488940740,8183,2030,8183,1488940750,2,0
1488940740,8183,2030,8183,1488940753,2,0
1488940740,8183,2030,8183,1488940756,2,0
1488940740,8183,2030,8183,1488940759,2,0
1488940740,8183,2030,8183,1488940763,2,0
1488940743,2030,8183,2030,1488940771,2,0
1488940747,2030,8183,2030,1488940771,2,0
1488940750,2030,8183,2030,1488940771,2,0
1488940753,2030,8183,2030,1488940771,2,0
1488940756,2030,8183,2030,1488940771,2,0
1488940759,2030,8183,2030,1488940771,2,0
1488940763,2030,8183,2030,1488940771,2,0
1488961369,1786,1765,1786,1488962172,4,0
1488962172,1765,1786,1765,1488962701,4,0
1489174814,69,68,69,1489175125,2,0
1489174814,69,68,69,1489175128,2,0
1489175019,69,68,69,1489175125,2,0
1489175019,69,68,69,1489175128,2,0
1489175020,69,68,69,1489175125,2,0
1489175020,69,68,69,1489175128,2,0
1489175108,69,68,69,1489175125,2,0
1489175108,69,68,69,1489175128,2,0
1489175109,69,68,69,1489175125,2,0
1489175109,69,68,69,1489175128,2,0
1489175125,68,69,68,1489175139,4,0
1489175125,68,69,68,1489175142,2,0
1489175128,68,69,68,1489175139,4,0
1489175128,68,69,68,1489175142,2,0
1489260229,1909,1765,1786,1489260607,4,0
1489279092,8171,1953,8171,1489280585,2,0
1489279174,8171,1953,8171,1489280585,2,0
1489280585,1953,8171,11,1489281141,2,0
1489280585,1953,8171,11,1489281142,2,0
1489280585,1953,8171,43946,1489281161,1,1
1489280585,1953,8171,43946,1489281165,2,0
1489327309,43380,18,43380,1489327341,2,2
1489403566,1909,1765,1848,1489403948,2,0
1489412240,2071,34458,2071,1489412538,2,0
1489412240,2071,34458,2071,1489412540,2,0
1489412240,2071,34458,2071,1489412562,2,0
1489412240,2071,34458,2071,1489412563,2,0
1489412242,2071,34458,2071,1489412538,4,0
1489412242,2071,34458,2071,1489412540,4,0
1489412242,2071,34458,2071,1489412562,4,0
1489412242,2071,34458,2071,1489412563,4,0
1489415219,8171,43946,8171,1489415278,3,3
1489415223,8171,43946,8171,1489415278,6,0
1489420178,43380,18,43380,1489421951,2,0
1489420457,43380,18,43380,1489421951,2,0
1489420457,43380,18,43380,1489421984,2,0
1489420457,43380,18,43380,1489421985,2,0
1489429546,1765,1909,1765,1489429680,2,0
1489507313,43380,18,43380,1489507936,2,2
1489507677,43380,18,43380,1489507936,2,2
1489507779,43380,18,43380,1489507936,4,0
1489572973,43380,18,43380,1489573526,2,0
1489585090,8171,7982,8171,1489585324,2,0
1489587227,18,43380,18,1489587245,2,0
1489595056,8171,18,8171,1489595094,2,0
1489595056,8171,18,8171,1489595096,4,0
1489595057,8171,18,8171,1489595094,2,0
1489595057,8171,18,8171,1489595096,4,0
1489595094,18,8171,2053,1489596158,1,1
1489595094,18,8171,2053,1489596159,2,0
1489595096,18,8171,2053,1489596158,2,2
1489595096,18,8171,2053,1489596159,4,0
1489597467,18,43380,18,1489597540,2,0
1489653594,1848,1765,1848,1489653635,2,0
1489653594,1848,1765,1848,1489653695,2,0
1489653635,1765,1848,1765,1489653797,2,0
1489653695,1765,1848,1765,1489653797,2,0
1489686645,69,68,69,1489687656,8,0
1489686645,69,68,69,1489687660,4,0
1489686648,69,68,69,1489687656,4,0
1489686648,69,68,69,1489687660,2,0
1489687271,69,68,69,1489687656,8,0
1489687271,69,68,69,1489687660,4,0
1489687656,68,69,68,1489688280,8,0
1489687656,68,69,68,1489688284,4,0
1489687656,68,69,68,1489688351,8,0
1489687656,68,69,68,1489688352,4,0
1489687660,68,69,68,1489688280,4,0
1489687660,68,69,68,1489688284,2,0
1489687660,68,69,68,1489688351,4,0
1489687660,68,69,68,1489688352,2,0
1489748925,18,43380,18,1489750036,2,0
1489748926,18,43380,18,1489750036,2,0
1489782664,8173,8171,8173,1489782745,2,0
1489834012,18,8171,18,1489834481,2,0
1489834012,18,8171,18,1489834482,2,0
1489926635,1765,1786,1765,1489926772,4,0
1490011908,8171,43943,8171,1490012262,2,0
1490012262,43943,8171,43943,1490013685,2,0
1490012262,43943,8171,43943,1490013689,2,0
1490015854,43943,8171,43943,1490016185,2,0
1490029124,18,43380,18,1490029259,4,0
1490037898,34632,34513,34632,1490038916,2,0
1490037898,34632,34513,34632,1490039644,2,0
1490037898,34632,34513,34632,1490039670,2,0
1490038916,34513,34632,34513,1490039695,2,0
1490038916,34513,34632,34513,1490039761,2,0
1490039644,34513,34632,34513,1490039695,2,0
1490039644,34513,34632,34513,1490039761,2,0
1490039670,34513,34632,34513,1490039695,2,0
1490039670,34513,34632,34513,1490039761,2,0
1490039695,34632,34513,34632,1490040820,2,0
1490039695,34632,34513,34666,1490040621,2,0
1490039695,34632,34513,34666,1490041183,2,0
1490039761,34632,34513,34632,1490040820,2,0
1490039761,34632,34513,34666,1490040621,2,0
1490039761,34632,34513,34666,1490041183,2,0
1490046324,34513,34666,34632,1490046832,2,0
1490046832,34666,34632,34666,1490047015,2,0
1490065613,8172,8171,8173,1490066342,2,0
1490065614,8172,8171,8173,1490066342,2,0
1490065618,8172,8171,8173,1490066342,2,0
1490096450,34513,34666,34513,1490097535,4,0
1490096905,34513,34666,34513,1490097535,4,0
1490097336,34513,34666,34513,1490097535,4,0
1490097500,34513,34666,34513,1490097535,4,0
1490097504,34513,34666,34513,1490097535,4,0
1490123889,34632,34513,34632,1490124438,2,0
1490123889,34632,34513,34666,1490124010,2,0
1490138734,35641,34751,35641,1490138814,2,0
1490138734,35641,34751,35641,1490139103,2,0
1490138734,35641,34751,35641,1490139168,2,0
1490138734,35641,34751,35641,1490139284,2,0
1490138814,34751,35641,34751,1490138822,2,0
1490138814,34751,35641,34751,1490139048,2,0
1490138814,34751,35641,34751,1490139107,2,0
1490138814,34751,35641,34751,1490139172,2,0
1490138814,34751,35641,34751,1490139260,2,0
1490138814,34751,35641,34751,1490139289,2,0
1490138814,34751,35641,34751,1490139312,2,0
1490138822,35641,34751,35641,1490139103,2,0
1490138822,35641,34751,35641,1490139168,2,0
1490138822,35641,34751,35641,1490139284,2,0
1490139048,35641,34751,35641,1490139103,2,0
1490139048,35641,34751,35641,1490139168,2,0
1490139048,35641,34751,35641,1490139284,2,0
1490139103,34751,35641,34751,1490139107,2,0
1490139103,34751,35641,34751,1490139172,2,0
1490139103,34751,35641,34751,1490139260,2,0
1490139103,34751,35641,34751,1490139289,2,0
1490139103,34751,35641,34751,1490139312,2,0
1490139107,35641,34751,35641,1490139168,2,0
1490139107,35641,34751,35641,1490139284,2,0
1490139168,34751,35641,34751,1490139172,2,0
1490139168,34751,35641,34751,1490139260,2,0
1490139168,34751,35641,34751,1490139289,2,0
1490139168,34751,35641,34751,1490139312,2,0
1490139172,35641,34751,35641,1490139284,2,0
1490139260,35641,34751,35641,1490139284,2,0
1490139284,34751,35641,34751,1490139289,2,0
1490139284,34751,35641,34751,1490139312,2,0
