timestamp,A,X,B,Y,esito_positivo,esito_negativo
1523454714,1898,11,7646,11,3,0
1523454719,1898,11,7646,11,3,0
1523454763,7646,11,7646,11,3,0
1523454874,1898,11,7646,11,3,0
1523455386,23447,228,5654,228,3,0
1523455419,23447,228,5654,228,3,0
1523456113,41717,228,5654,228,3,0
1523456367,23448,228,5654,228,3,0
1523456417,23448,228,5654,228,3,0
1523456519,41729,228,5654,228,3,0
1523456625,41729,228,5654,228,3,0
1523456893,23448,228,5654,228,3,0
1523473976,23467,228,5835,228,3,0
1523474330,23444,228,5835,228,3,0
1523474391,1898,11,7648,11,3,0
1523474405,22381,228,5835,228,3,0
1523474461,23468,228,5835,228,3,0
1523474738,23469,228,5835,228,3,0
1523474934,20933,228,5835,228,3,0
1523474952,14477,228,5835,228,3,0
1523474965,1898,11,7648,11,3,0
1523475023,14477,228,5835,228,3,0
1523475172,7648,11,7648,11,3,0
1523475173,7648,11,7648,11,3,0
1523475190,5478,228,5835,228,3,0
1523475492,19827,228,5835,228,3,0
1523613836,23514,228,5887,228,3,0
1523613942,41762,228,5887,228,3,0
1523613958,23509,228,5887,228,3,0
1523614053,23515,228,5887,228,3,0
1523614188,41763,228,5887,228,3,0
1523614228,41763,228,5887,228,3,0
1523614547,5298,228,5887,228,3,0
1523617888,52452,7514,52452,7514,3,0
1523622055,23515,228,5429,228,3,0
1523622887,23515,228,5429,228,3,0
1523627746,41332,8520,41332,8520,3,0
1523627757,41332,8520,41332,8520,3,0
1523628031,41332,8520,41332,8520,3,0
1523628032,41332,8520,41332,8520,3,0
1523628123,41332,8520,41332,8520,3,0
1523628124,41332,8520,41332,8520,3,0
1523628132,41332,8520,41332,8520,3,0
1523628133,41332,8520,41332,8520,3,0
1523628291,41332,8520,41332,8520,3,0
1523628293,41332,8520,41332,8520,3,0
1523630340,41771,228,5313,228,3,0
1523630614,12741,228,5313,228,3,0
1523630722,23533,228,5313,228,3,0
1523630723,23533,228,5313,228,3,0
1523638386,13705,228,5884,228,3,0
1523638512,38004,228,5884,228,3,0
1523638550,38004,228,5884,228,3,0
1523638885,23541,228,5884,228,3,0
1523639156,23544,228,5884,228,3,0
1523644463,41775,228,5222,228,3,0
1523644676,3140,228,5222,228,3,0
1523702613,7637,11,7637,11,3,0
1523702614,7637,11,7637,11,3,0
1523702666,7637,11,7637,11,3,0
1523702667,7637,11,7637,11,3,0
1523703435,33804,7514,7581,7514,3,0
1523704208,1898,11,7637,11,3,0
1523722554,7526,7514,7561,7514,3,0
1523723105,7561,7514,7561,7514,3,0
1523723110,7561,7514,7561,7514,3,0
1523735203,7562,7514,7561,7514,3,0
1523735272,7561,7514,7561,7514,3,0
1523735279,7561,7514,7561,7514,3,0
1523735282,7561,7514,7561,7514,3,0
1523735288,7561,7514,7561,7514,3,0
1523741086,8,1,8,1,3,0
1523953186,23660,228,5777,228,3,0
1523953228,23623,228,5777,228,3,0
1523971689,41758,228,23679,228,3,0
1523972293,41845,228,23679,228,3,0
1523972483,41736,228,23679,228,3,0
1523972943,5669,228,23679,228,3,0
1523974227,23667,228,5999,228,3,0
1523974930,4004,228,5999,228,3,0
1523975090,14280,228,5999,228,3,0
1523975775,6210,228,5999,228,3,0
1523986942,41332,8520,8524,8520,3,0
1523986949,41332,8520,8524,8520,3,0
1523990524,41332,8520,41332,8520,3,0
1523990525,41332,8520,41332,8520,3,0
1523990594,41332,8520,41332,8520,3,0
1524000316,41332,8520,41332,8520,3,0
1524000493,41332,8520,41332,8520,3,0
1524000532,41332,8520,41332,8520,3,0
1524000533,41332,8520,41332,8520,3,0
1524002254,41332,8520,41332,8520,3,0
1524002255,41332,8520,41332,8520,3,0
1524002277,41332,8520,41332,8520,3,0
1524002278,41332,8520,41332,8520,3,0
1524003364,41332,8520,41332,8520,3,0
1524003365,41332,8520,41332,8520,3,0
1524003366,41332,8520,41332,8520,3,0
1524045946,5611,228,5744,228,3,0
1524045977,23603,228,5744,228,3,0
1524046461,41848,228,5744,228,3,0
1524047436,20311,228,5744,228,3,0
1524053177,52462,7514,7561,7514,3,0
1524053178,52462,7514,7561,7514,3,0
1524058428,23726,228,23729,228,3,0
1524058832,5841,228,23729,228,3,0
1524059056,6012,228,23729,228,3,0
1524059068,6012,228,23729,228,3,0
1524059905,41866,228,23729,228,3,0
1524059923,41866,228,23729,228,3,0
1524059945,41703,228,23729,228,3,0
1524059971,41703,228,23729,228,3,0
1524059978,41857,228,23729,228,3,0
1524060004,41703,228,23729,228,3,0
1524060049,41703,228,23729,228,3,0
1524060081,41866,228,23729,228,3,0
1524062672,23894,228,5730,228,3,0
1524063009,23894,228,5730,228,3,0
1524063481,41868,228,5730,228,3,0
1524064240,5150,228,5730,228,3,0
1524065401,38550,228,6772,228,3,0
1524065591,38550,228,6772,228,3,0
1524066225,5478,228,6772,228,3,0
1524066240,5150,228,6772,228,3,0
1524066241,5150,228,6772,228,3,0
1524066507,23739,228,6772,228,3,0
1524066538,23739,228,6772,228,3,0
1524071672,7663,11,7637,11,3,0
1524074339,1898,11,7648,11,3,0
1524074974,1898,11,7648,11,3,0
1524075018,7648,11,7648,11,3,0
1524075023,1898,11,7648,11,3,0
1524075143,7648,11,7648,11,3,0
1524075538,7648,11,7648,11,3,0
1524080844,1776,1765,1776,1765,3,0
1524144937,5435,228,5604,228,5,1
1524157991,41332,8520,41332,8520,3,0
1524158172,41332,8520,41332,8520,3,0
1524227562,23808,228,23110,228,3,0
1524228968,23809,228,23110,228,3,0
1524229488,23806,228,5679,228,3,0
1524229499,23110,228,5679,228,3,0
1524229500,23110,228,5679,228,3,0
1524229576,23806,228,5679,228,3,0
1524229811,23811,228,5679,228,3,0
1524230126,41893,228,5679,228,3,0
1524231086,5527,228,5679,228,3,0
1524354782,41334,8520,41334,8520,3,0
1524354784,41334,8520,41334,8520,3,0
1524354848,41334,8520,41334,8520,3,0
1524354850,41334,8520,41334,8520,3,0
1524354866,41334,8520,41334,8520,3,0
1524354868,41334,8520,41334,8520,3,0
1524354934,41334,8520,41334,8520,3,0
1524354935,41334,8520,41334,8520,3,0
1524354994,41334,8520,41334,8520,3,0
