timestamp,event_type,n_1a,n_1b,n_2,n_3a,n_3b,n_3c,n_4a,n_4b,n_4c,n_4d,n_1_comune,n_2_comune
1513179287,8,0,2,0,0,0,0,0,0,22,0,6,5
1513179894,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180035,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180036,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180077,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180079,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180087,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180088,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180277,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180684,8,0,2,0,0,0,0,0,0,22,0,6,5
1513180696,8,0,2,0,0,0,0,0,0,22,0,6,5
1513194018,1,0,2,0,0,0,0,0,0,22,0,6,5
1513194020,1,0,2,0,0,0,0,0,0,22,0,6,5
1513259808,1,0,4,0,0,0,0,0,0,0,0,4,0
1513259810,1,0,4,0,0,0,0,0,0,0,0,4,0
1513263309,1,0,4,0,0,0,0,0,0,0,0,4,0
1513263311,1,0,4,0,0,0,0,0,0,0,0,4,0
1513331867,8,0,3,0,0,1,0,0,0,18,4,5,9
1513332148,8,0,3,0,0,1,0,0,0,18,4,5,9
1513332149,8,0,3,0,0,1,0,0,0,18,4,5,9
1513332196,8,0,3,0,0,1,0,0,0,18,4,5,9
1513332197,8,0,3,0,0,1,0,0,0,18,4,5,9
1513332803,8,0,3,0,0,1,0,0,0,18,4,5,9
1513341550,8,0,3,0,0,1,0,0,0,18,4,5,9
1513342244,8,0,3,0,0,1,0,0,0,18,4,5,9
1513343641,8,0,3,0,0,1,0,0,0,18,4,5,9
1513343744,8,0,3,0,0,1,0,0,0,18,4,5,9
1513343769,8,0,3,0,0,1,0,0,0,18,4,5,9
1513343886,8,0,3,0,0,1,0,0,0,18,4,5,9
1513344315,8,0,3,0,0,1,0,0,0,18,4,5,9
1513344317,8,0,3,0,0,1,0,0,0,18,4,5,9
1513346892,1,0,3,0,0,1,0,0,0,18,4,5,9
1513346962,8,0,3,0,0,1,0,0,0,18,4,5,9
1513346964,8,0,3,0,0,1,0,0,0,18,4,5,9
1513347909,8,0,3,0,0,1,0,0,0,18,4,5,9
1513347910,8,0,3,0,0,1,0,0,0,18,4,5,9
1513351011,9,0,3,0,0,1,0,0,0,18,4,5,9
1513351016,9,0,3,0,0,1,0,0,0,18,4,5,9
1513351176,9,0,3,0,0,1,0,0,0,18,4,5,9
1513351181,9,0,3,0,0,1,0,0,0,18,4,5,9
1513355840,1,0,3,0,0,1,0,0,0,18,4,5,9
1513356819,1,0,3,0,0,1,0,0,0,18,4,5,9
1513373861,4,0,3,0,0,1,0,0,0,18,4,5,9
1513422575,9,0,0,0,0,0,0,0,0,0,6,0,2
1513422580,9,0,0,0,0,0,0,0,0,0,6,0,2
1513426263,9,0,0,0,0,0,0,0,0,0,6,0,2
1513426269,9,0,0,0,0,0,0,0,0,0,6,0,2
1513427018,9,0,0,0,0,0,0,0,0,0,6,0,2
1513427023,9,0,0,0,0,0,0,0,0,0,6,0,2
1513536532,9,0,0,0,0,0,0,0,0,0,7,0,2
1513536533,9,0,0,0,0,0,0,0,0,0,7,0,2
1513536575,9,0,0,0,0,0,0,0,0,0,7,0,2
1513536608,9,0,0,0,0,0,0,0,0,0,7,0,2
1513536677,9,0,0,0,0,0,0,0,0,0,7,0,2
1513536686,9,0,0,0,0,0,0,0,0,0,7,0,2
1513542234,9,0,0,0,0,0,0,0,0,0,7,0,2
1513595979,2,0,6,1,0,0,0,0,0,9,6,2,8
1513601188,1,0,6,1,0,0,0,0,0,9,6,2,8
1513603867,1,0,6,1,0,0,0,0,0,9,6,2,8
1513604330,1,0,6,1,0,0,0,0,0,9,6,2,8
1513604399,1,0,6,1,0,0,0,0,0,9,6,2,8
1513604463,1,0,6,1,0,0,0,0,0,9,6,2,8
1513605022,1,0,6,1,0,0,0,0,0,9,6,2,8
1513605049,9,0,6,1,0,0,0,0,0,9,6,2,8
1513605054,9,0,6,1,0,0,0,0,0,9,6,2,8
1513605122,9,0,6,1,0,0,0,0,0,9,6,2,8
1513605126,9,0,6,1,0,0,0,0,0,9,6,2,8
1513614913,8,0,6,1,0,0,0,0,0,9,6,2,8
1513617949,8,0,6,1,0,0,0,0,0,9,6,2,8
1513621844,8,0,6,1,0,0,0,0,0,9,6,2,8
1513621876,8,0,6,1,0,0,0,0,0,9,6,2,8
1513621975,8,0,6,1,0,0,0,0,0,9,6,2,8
1513621976,8,0,6,1,0,0,0,0,0,9,6,2,8
1513622188,8,0,6,1,0,0,0,0,0,9,6,2,8
1513622215,8,0,6,1,0,0,0,0,0,9,6,2,8
1513622531,8,0,6,1,0,0,0,0,0,9,6,2,8
1513636694,9,0,6,1,0,0,0,0,0,9,6,2,8
1513636697,9,0,6,1,0,0,0,0,0,9,6,2,8
1513690279,8,0,1,0,0,0,0,0,0,20,8,7,7
1513690411,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691150,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691214,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691244,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691302,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691446,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691570,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691664,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691752,8,0,1,0,0,0,0,0,0,20,8,7,7
1513691753,8,0,1,0,0,0,0,0,0,20,8,7,7
