timestamp,X1,A,X2,chiamate,p0,p_cappuccio,z,significativo
4414273,37,42,37,4,0.0008338310027381206,0.017224339968939715,21.95609778708093,0.0
4414349,39,42,39,2,0.0007136391464875807,0.016455676345553515,23.042961751929088,0.0
4415101,31,44,31,4,0.0019193137045008094,0.007278773903085635,2.6091146807407672,0.004538840729020999
4415185,28,46,28,2,0.0013972303289125267,0.004408050574929016,1.5629618050419678,0.059030789466458566
4415302,37,42,37,2,0.0008338310027381206,0.017224339968939715,21.95609778708093,0.0
4415418,31,44,31,2,0.0019193137045008094,0.007278773903085635,2.6091146807407672,0.004538840729020999
4415798,37,44,37,4,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4415823,12,44,12,2,0.0016977099695388766,0.00192950256482658,0.06294942702674904,0.47490338789170183
4416319,41,42,41,2,0.0007624670880893628,0.01824399579588059,24.455317702748676,0.0
4416679,38,7,38,2,6.009592812526997e-05,0.01485560104789245,82.97575740026127,0.0
4416705,31,47,31,2,0.0015662501267648483,0.006008125872590083,2.3534689871978807,0.009299579640777211
4416988,12,42,12,8,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4417067,37,44,37,2,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4417090,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4417976,12,42,12,8,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4419312,38,7,38,2,6.009592812526997e-05,0.01485560104789245,82.97575740026127,0.0
4419376,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4421610,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4422051,38,47,38,6,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4423796,38,47,38,4,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4423824,38,46,38,4,0.00137845035137338,0.025930632029742568,26.64314973127951,0.0
4424550,38,47,38,2,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4424732,38,47,38,2,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4425727,37,44,37,4,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4426912,40,46,40,2,0.0014197663019595028,0.0233265879178628,22.89840150659125,0.0
4427767,36,45,36,4,0.0008075390341833153,0.018589110075768283,24.501528350894656,0.0
4428673,29,44,29,2,0.001821657821297245,0.006368927165199931,2.231774246097273,0.012814943641206722
4428695,30,46,30,4,0.0015474701492257015,0.005474767440036394,2.079040144157943,0.018806830422398946
4428901,40,42,40,2,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4429003,36,45,36,2,0.0008075390341833153,0.018589110075768283,24.501528350894656,0.0
4429696,30,46,30,2,0.0015474701492257015,0.005474767440036394,2.079040144157943,0.018806830422398946
4429932,13,44,13,4,0.0017352699246171706,0.002745227226379281,0.2658197547192134,0.3951890141697547
4430487,40,43,40,2,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4430546,13,44,13,2,0.0017352699246171706,0.002745227226379281,0.2658197547192134,0.3951890141697547
4430546,40,42,40,2,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4430915,29,47,29,6,0.001532446167194384,0.00473747784209453,1.56323196105498,0.05899902255727185
4431352,27,46,27,2,0.0014911302166082606,0.0052551492619260535,1.94362875942379,0.025970117569128703
4431541,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4432791,39,46,39,2,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4433421,40,42,40,2,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4433547,36,43,36,6,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4433915,41,47,41,4,0.0007925150521519976,0.01932639967371013,25.83771871646964,0.0
4434073,41,47,41,2,0.0007925150521519976,0.01932639967371013,25.83771871646964,0.0
4434543,36,43,36,6,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4435248,40,10,40,6,3.755995507829373e-05,0.012643732254066856,89.66143044899222,0.0
