timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
12408141,43,41,42,41,3,0.0010479227466843948,0.0004424141956323591,-0.6643066383902033,0.7467529634366072
12409619,43,40,46,40,3,0.001742781915632829,0.0007035984798008602,-0.8892710981494374,0.8130712998159727
12410619,47,29,42,29,3,0.0024977370127065327,0.00016346227308504838,-1.1540651248335867,0.8757632649419707
12410902,43,12,46,12,3,0.0020845775068453016,4.2642332109143046e-05,-1.0528066637492015,0.8537851948789921
12412406,43,12,46,12,3,0.0020845775068453016,4.2642332109143046e-05,-1.0528066637492015,0.8537851948789921
12412980,43,12,46,12,3,0.0020845775068453016,4.2642332109143046e-05,-1.0528066637492015,0.8537851948789921
12413061,45,36,16,36,3,0.001359670373834233,0.0003269245461700967,-0.8045178552404709,0.7894510191634775
12413061,45,36,42,36,3,0.0014347902839908205,0.0003429154207110254,-0.8280452013859093,0.7961775491992616
12413061,45,36,43,36,3,0.002437641084581263,0.00044063743179447823,-1.1624855356876846,0.8774808516480415
12413061,45,36,47,36,3,0.001682685987507559,0.00035179923990043017,-0.932113645325722,0.8243611015628474
12413735,43,12,46,12,3,0.0020845775068453016,4.2642332109143046e-05,-1.0528066637492015,0.8537851948789921
12415197,43,40,46,40,3,0.001742781915632829,0.0007035984798008602,-0.8892710981494374,0.8130712998159727
12415625,46,21,45,21,3,0.0015775181132883366,1.4214110703047684e-05,-0.8101571522628619,0.7910750699264469
12416162,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12416781,42,36,8,36,3,0.0011305546478566411,0.00032514778233221574,-0.6524155251543384,0.7429334241640064
12416781,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12416781,42,36,43,36,3,0.0025465649543083145,0.00044063743179447823,-1.1374408731531511,0.8723229855918166
12416781,42,36,47,36,3,0.0017390259201249994,0.0002665145756821441,-0.9620390020581124,0.8319849936500632
12417575,46,40,43,40,3,0.0017953658527424402,0.0007018217159629794,-0.8873420216164635,0.8125526059533837
12418038,46,31,45,31,3,0.0018517057853598808,8.706142805616706e-05,-1.0104387144655558,0.8438574262268488
12418609,43,19,44,19,3,0.001611322072858801,1.2437346865166724e-05,-0.8975943941807791,0.8152990856270645
12419056,46,40,43,40,3,0.0017953658527424402,0.0007018217159629794,-0.8873420216164635,0.8125526059533837
12419106,46,15,44,15,3,0.0017465379111406582,3.908880443338113e-05,-1.1383850872204135,0.8725201408259804
12419877,43,36,8,36,3,0.0007850030611363389,0.0005330291513642882,-0.31872218257034723,0.625031404006957
12419877,43,36,16,36,3,0.0009690468410199784,0.0005898855941764787,-0.4317018884491353,0.6670209526405869
12420270,47,36,8,36,3,0.001160602611919276,0.0003429154207110254,-0.7051008266820681,0.7596262539395244
12420270,47,36,16,36,3,0.0012657704861384984,0.00038911128049593045,-0.7239056740242246,0.7654381768464139
12420270,47,36,43,36,3,0.002257353300205453,0.00048327976390362116,-1.0975295310374709,0.8637950106180414
12421042,43,36,8,36,3,0.0007850030611363389,0.0005330291513642882,-0.31872218257034723,0.625031404006957
12421042,43,36,16,36,3,0.0009690468410199784,0.0005898855941764787,-0.4317018884491353,0.6670209526405869
12421052,43,22,44,22,3,0.0017315139291093407,3.731204059550017e-05,-0.9020415158431287,0.8164825927912345
12421075,16,36,8,36,3,0.0015174221851630663,0.0002345328266002868,-0.8292158549246189,0.7965088625560355
12421075,16,36,43,36,3,0.0032489361142724075,0.0003660133506034778,-1.2745912202686316,0.8987730166639882
12421450,46,15,44,15,3,0.0017465379111406582,3.908880443338113e-05,-1.1383850872204135,0.8725201408259804
12421454,43,36,8,36,3,0.0007850030611363389,0.0005330291513642882,-0.31872218257034723,0.625031404006957
12421454,43,36,16,36,3,0.0009690468410199784,0.0005898855941764787,-0.4317018884491353,0.6670209526405869
12421964,16,36,8,36,3,0.0015174221851630663,0.0002345328266002868,-0.8292158549246189,0.7965088625560355
12422698,47,38,45,38,3,0.0018291698123129047,0.00035002247606254915,-0.9876298065026288,0.8383330084746062
12423060,45,31,47,31,3,0.0015474701492257015,0.00011015935794861953,-1.006724036906028,0.8429662961200133
12423553,16,36,8,36,3,0.0015174221851630663,0.0002345328266002868,-0.8292158549246189,0.7965088625560355
12424031,47,38,45,38,3,0.0018291698123129047,0.00035002247606254915,-0.9876298065026288,0.8383330084746062
12424284,45,31,47,31,3,0.0015474701492257015,0.00011015935794861953,-1.006724036906028,0.8429662961200133
12424337,44,41,47,41,3,0.0007699790791050214,0.000760454922613051,-0.014482458656174334,0.5057774631190062
12424665,47,38,45,38,3,0.0018291698123129047,0.00035002247606254915,-0.9876298065026288,0.8383330084746062
12424696,46,38,45,38,3,0.0013145984277402804,0.0005579038450946216,-0.7264444412180179,0.766216822284973
12424857,47,36,8,36,3,0.001160602611919276,0.0003429154207110254,-0.7051008266820681,0.7596262539395244
12424909,43,15,44,15,3,0.001784097866218952,2.665145756821441e-05,-0.9977378728696344,0.8407967584197691
12425677,46,39,47,39,3,0.001149334625395788,0.0006893843690978128,-0.4972944314433788,0.69050928098025
12426763,43,40,46,40,3,0.001742781915632829,0.0007035984798008602,-0.8892710981494374,0.8130712998159727
12429559,44,41,47,41,3,0.0007699790791050214,0.000760454922613051,-0.014482458656174334,0.5057774631190062
12431878,47,39,9,39,3,0.0010554347377000537,0.000401548627361097,-0.627193564021951,0.7347338192503943
12431878,47,39,46,39,3,0.002478957035167386,0.0006183138155825742,-1.1653421068504457,0.8780597293232293
12432034,45,40,43,40,3,0.002317449228330723,0.00041753950190202567,-1.1647736892343692,0.8779446941533269
12432034,45,40,46,40,3,0.0022085253586036713,0.00043708390411871626,-1.1124118390340938,0.8670194416907642
12433850,42,40,43,40,3,0.0026705128060666838,0.0004690656532005736,-1.2019927643387187,0.8853168342561908
12433850,42,40,46,40,3,0.002328717214854211,0.0004548515424975258,-1.0954601759381832,0.8633424583289309
12434256,45,38,46,38,3,0.0022761332777446,0.0005241453321748834,-1.1151184530901503,0.8676001675757004
12434593,44,41,47,41,3,0.0007699790791050214,0.000760454922613051,-0.014482458656174334,0.5057774631190062
12435327,43,29,42,29,3,0.0020920894978609605,0.00026473781184426306,-1.2835281214322,0.9003464430700348
12435370,42,37,44,37,3,0.0035719517279457326,0.0005188150406612404,-1.4511039013376164,0.9266245348290029
12435941,43,29,42,29,3,0.0020920894978609605,0.00026473781184426306,-1.2835281214322,0.9003464430700348
12435954,45,40,43,40,3,0.002317449228330723,0.00041753950190202567,-1.1647736892343692,0.8779446941533269
12435954,45,40,46,40,3,0.0022085253586036713,0.00043708390411871626,-1.1124118390340938,0.8670194416907642
12436632,46,39,9,39,3,0.0007624670880893628,0.0005667876642840264,-0.25970272016871104,0.6024534528853762
12436736,43,29,42,29,3,0.0020920894978609605,0.00026473781184426306,-1.2835281214322,0.9003464430700348
12437244,45,39,9,39,3,0.0011418226343801294,0.00036068305908983496,-0.6647638988701624,0.7468992417563818
12437244,45,39,46,39,3,0.002576612918370949,0.000540136206715812,-1.1545296964620189,0.8758584645634266
12437327,9,39,46,39,3,0.0035606837414222455,0.0003215942546564538,-1.300555327985983,0.9032946468415066
12437639,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12437922,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12437994,46,31,45,31,3,0.0018517057853598808,8.706142805616706e-05,-1.0104387144655558,0.8438574262268488
12438214,44,29,42,29,3,0.002554076945323973,0.00016879256459869122,-1.2950855705836075,0.9023546439940632
12438221,9,39,46,39,3,0.0035606837414222455,0.0003215942546564538,-1.300555327985983,0.9032946468415066
12438357,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12440088,46,38,45,38,3,0.0013145984277402804,0.0005579038450946216,-0.7264444412180179,0.766216822284973
12440728,43,29,42,29,3,0.0020920894978609605,0.00026473781184426306,-1.2835281214322,0.9003464430700348
12441414,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12441729,46,40,43,40,3,0.0017953658527424402,0.0007018217159629794,-0.8873420216164635,0.8125526059533837
12441992,46,40,43,40,3,0.0017953658527424402,0.0007018217159629794,-0.8873420216164635,0.8125526059533837
12442779,46,38,45,38,3,0.0013145984277402804,0.0005579038450946216,-0.7264444412180179,0.766216822284973
12442939,45,38,46,38,3,0.0022761332777446,0.0005241453321748834,-1.1151184530901503,0.8676001675757004
12443356,45,38,46,38,3,0.0022761332777446,0.0005241453321748834,-1.1151184530901503,0.8676001675757004
12443443,42,38,45,38,3,0.0020733095203218136,0.00030204985243976334,-1.019168821740186,0.8459385871527185
12443443,42,38,46,38,3,0.002629196855480561,0.00037312040595500166,-1.1530794185429385,0.8755611057597747
12444752,45,28,43,28,3,0.002580368913878779,0.00014391787086835779,-1.31525046650764,0.90578713031554
12445259,43,40,17,40,3,0.0005483753441430884,0.00033403160152162053,-0.3267952041494008,0.6280886065018196
12446551,43,40,17,40,3,0.0005483753441430884,0.00033403160152162053,-0.3267952041494008,0.6280886065018196
12446582,43,40,17,40,3,0.0005483753441430884,0.00033403160152162053,-0.3267952041494008,0.6280886065018196
12447138,43,40,17,40,3,0.0005483753441430884,0.00033403160152162053,-0.3267952041494008,0.6280886065018196
12447709,47,27,45,27,3,0.001881753749422516,0.0001172664133001434,-1.0348142779115606,0.8496221731643105
12448134,16,36,43,36,3,0.0032489361142724075,0.0003660133506034778,-1.2745912202686316,0.8987730166639882
12448134,16,36,45,36,3,0.002159697417001889,0.0002789519225473108,-1.019306773388726,0.8459713253292087
12448871,47,27,45,27,3,0.001881753749422516,0.0001172664133001434,-1.0348142779115606,0.8496221731643105
12449556,16,36,43,36,3,0.0032489361142724075,0.0003660133506034778,-1.2745912202686316,0.8987730166639882
12449556,16,36,45,36,3,0.002159697417001889,0.0002789519225473108,-1.019306773388726,0.8459713253292087
12450720,16,36,43,36,3,0.0032489361142724075,0.0003660133506034778,-1.2745912202686316,0.8987730166639882
12450720,16,36,45,36,3,0.002159697417001889,0.0002789519225473108,-1.019306773388726,0.8459713253292087
12451767,43,28,45,28,3,0.0015136661896552376,0.000181229911463858,-1.130510964167657,0.8708695094500711
12452010,46,14,47,14,3,0.004323150829511607,0.00012437346865166722,-1.6515836044702912,0.9506902676949064
12452588,44,30,46,30,3,0.001472350239069114,0.0001528016900577626,-0.9697281693290376,0.8339089972848075
12454072,44,30,46,30,3,0.001472350239069114,0.0001528016900577626,-0.9697281693290376,0.8339089972848075
12456017,43,40,17,40,3,0.0005483753441430884,0.00033403160152162053,-0.3267952041494008,0.6280886065018196
12456392,46,31,45,31,3,0.0018517057853598808,8.706142805616706e-05,-1.0104387144655558,0.8438574262268488
12456808,42,29,43,29,3,0.002167209408017548,0.0001989975498426676,-1.3504123733915578,0.9115581279711892
12457476,45,36,16,36,3,0.001359670373834233,0.0003269245461700967,-0.8045178552404709,0.7894510191634775
12457853,42,41,47,41,3,0.0017164899470780233,0.00030382661627764425,-0.9370802057674308,0.8256413487402186
12458353,45,36,16,36,3,0.001359670373834233,0.0003269245461700967,-0.8045178552404709,0.7894510191634775
12458353,45,36,42,36,3,0.0014347902839908205,0.0003429154207110254,-0.8280452013859093,0.7961775491992616
12458496,45,36,16,36,3,0.001359670373834233,0.0003269245461700967,-0.8045178552404709,0.7894510191634775
12458496,45,36,42,36,3,0.0014347902839908205,0.0003429154207110254,-0.8280452013859093,0.7961775491992616
12458971,47,37,42,37,3,0.0016789299919997296,0.00032337101849433484,-0.9464071927556004,0.8280295309237728
12458971,47,37,44,37,3,0.003583219714469221,0.0005774482473113121,-1.4378373139163645,0.9247598903321778
12458971,47,37,45,37,3,0.0017315139291093407,0.00037312040595500166,-0.9338990960398282,0.8248220274058852
12459629,9,39,45,39,3,0.0021033574843844485,0.00028961250557459653,-0.9468363252732596,0.8281389057612638
12459952,45,37,42,37,3,0.0015286901716865546,0.00038911128049593045,-0.8770030009132337,0.809757495946605
12459952,45,37,44,37,3,0.003271472087319384,0.0005845553026628357,-1.4147456837814194,0.9214284626488076
12459952,45,37,47,37,3,0.0015587381357491895,0.00041576273806414465,-0.8711105167898463,0.8081530938239514
12460102,47,37,42,37,3,0.0016789299919997296,0.00032337101849433484,-0.9464071927556004,0.8280295309237728
12460102,47,37,44,37,3,0.003583219714469221,0.0005774482473113121,-1.4378373139163645,0.9247598903321778
12461014,9,39,45,39,3,0.0021033574843844485,0.00028961250557459653,-0.9468363252732596,0.8281389057612638
12461203,47,37,42,37,3,0.0016789299919997296,0.00032337101849433484,-0.9464071927556004,0.8280295309237728
12461203,47,37,44,37,3,0.003583219714469221,0.0005774482473113121,-1.4378373139163645,0.9247598903321778
12461228,17,40,45,40,3,0.0025390529632926557,0.00015635521773352452,-0.9180768697097088,0.8207106883125304
12461297,45,27,42,27,3,0.002377545156455993,0.00013681081551683395,-1.269215021552532,0.897817807552585
12461588,44,22,0,22,3,0.0007699790791050214,1.7767638378809603e-05,-0.6195879839632527,0.7322354601392831
12461869,43,36,16,36,3,0.0009690468410199784,0.0005898855941764787,-0.4317018884491353,0.6670209526405869
12461869,43,36,42,36,3,0.0010629467287157123,0.0005241453321748834,-0.5857681640424337,0.7209843398152029
12461907,17,40,45,40,3,0.0025390529632926557,0.00015635521773352452,-0.9180768697097088,0.8207106883125304
12462077,46,39,45,39,3,0.0009765588320356368,0.0005667876642840264,-0.4805965068785838,0.6845983507115356
12462155,42,29,43,29,3,0.002167209408017548,0.0001989975498426676,-1.3504123733915578,0.9115581279711892
12463065,45,39,46,39,3,0.002576612918370949,0.000540136206715812,-1.1545296964620189,0.8758584645634266
12463227,43,22,0,22,3,0.0008112950296911446,2.1321166054571526e-05,-0.6141827253111082,0.7304527063410109
12463341,44,29,43,29,3,0.0025090049992300212,0.00015813198157140548,-1.2877865493548528,0.901089862137862
12463981,47,29,43,29,3,0.002580368913878779,0.00013681081551683395,-1.1886430603888365,0.8827099221926711
12464018,44,37,42,37,3,0.000995338809574784,0.0007142590628281461,-0.37160813548073135,0.644907684510698
12464018,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12464018,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
12464185,45,27,42,27,3,0.002377545156455993,0.00013681081551683395,-1.269215021552532,0.897817807552585
12464575,44,37,42,37,3,0.000995338809574784,0.0007142590628281461,-0.37160813548073135,0.644907684510698
12464575,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12464575,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
12464730,44,37,42,37,3,0.000995338809574784,0.0007142590628281461,-0.37160813548073135,0.644907684510698
12464730,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12464730,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
12465668,42,37,44,37,3,0.0035719517279457326,0.0005188150406612404,-1.4511039013376164,0.9266245348290029
12465668,42,37,45,37,3,0.001754049902156317,0.00038911128049593045,-0.9249140912709296,0.8224947019122719
12465668,42,37,47,37,3,0.0016864419830153884,0.00035535276757619214,-0.9198478591578312,0.821173865285675
12465695,45,30,46,30,3,0.001472350239069114,0.0001172664133001434,-0.955518801241532,0.830342298941797
12465760,47,37,42,37,3,0.0016789299919997296,0.00032337101849433484,-0.9464071927556004,0.8280295309237728
12465760,47,37,44,37,3,0.003583219714469221,0.0005774482473113121,-1.4378373139163645,0.9247598903321778
12465760,47,37,45,37,3,0.0017315139291093407,0.00037312040595500166,-0.9338990960398282,0.8248220274058852
12466105,44,14,47,14,3,0.004364466780097731,0.00011548964946226246,-1.561664198878555,0.9408164415233872
12466395,46,14,47,14,3,0.004323150829511607,0.00012437346865166722,-1.6515836044702912,0.9506902676949064
12466548,45,31,46,31,3,0.0014460582705143085,0.00012792699632742916,-0.9550247024344348,0.830217397505389
12466865,45,40,42,40,3,0.0015099101941474075,0.0003944415720095732,-0.8468759668953787,0.801467870252558
12467045,42,37,44,37,3,0.0035719517279457326,0.0005188150406612404,-1.4511039013376164,0.9266245348290029
12467045,42,37,45,37,3,0.001754049902156317,0.00038911128049593045,-0.9249140912709296,0.8224947019122719
12467045,42,37,47,37,3,0.0016864419830153884,0.00035535276757619214,-0.9198478591578312,0.821173865285675
12467058,42,39,45,39,3,0.0017352699246171706,0.0002913892694124775,-0.9500698716190212,0.8289616246199638
12467058,42,39,46,39,3,0.002768168689270248,0.0004779494723899784,-1.1937498879557598,0.8837120903247149
12467221,43,40,42,40,3,0.0011455786298879586,0.0005152615129854785,-0.6650897657573465,0.7470034599372521
12467221,43,40,45,40,3,0.0011305546478566411,0.0004974938746066689,-0.672403512906954,0.7493365764882396
12467820,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12468096,42,37,44,37,3,0.0035719517279457326,0.0005188150406612404,-1.4511039013376164,0.9266245348290029
12468096,42,37,45,37,3,0.001754049902156317,0.00038911128049593045,-0.9249140912709296,0.8224947019122719
12468096,42,37,47,37,3,0.0016864419830153884,0.00035535276757619214,-0.9198478591578312,0.821173865285675
12468623,45,11,44,11,3,0.0015399581582100428,5.6856442812190736e-05,-1.1676093995191112,0.8785178215097083
12468623,45,11,46,11,3,0.0020545295427826667,7.817760886676226e-05,-1.347414238813267,0.9110765713647281
12468662,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12468662,42,36,43,36,3,0.0025465649543083145,0.00044063743179447823,-1.1374408731531511,0.8723229855918166
12468795,42,36,16,36,3,0.0013671823648498914,0.00035535276757619214,-0.7454188003773029,0.7719907090205946
12468795,42,36,43,36,3,0.0025465649543083145,0.00044063743179447823,-1.1374408731531511,0.8723229855918166
12470062,44,37,45,37,3,0.0010328987646530774,0.0007888831440191464,-0.3166926926698357,0.6242616029880379
12470062,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
12470445,45,37,44,37,3,0.003271472087319384,0.0005845553026628357,-1.4147456837814194,0.9214284626488076
12470445,45,37,47,37,3,0.0015587381357491895,0.00041576273806414465,-0.8711105167898463,0.8081530938239514
12471207,46,11,44,11,3,0.001754049902156317,2.3097929892452484e-05,-1.1199464420998466,0.8686317070789196
12471835,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
12471872,45,39,46,39,3,0.002576612918370949,0.000540136206715812,-1.1545296964620189,0.8758584645634266
12471872,45,39,47,39,3,0.001885509744930345,0.00039977186352321614,-0.984300372113184,0.8375160766945892
12472113,43,41,44,41,3,0.002576612918370949,0.0009168101403465756,-1.1621907009471906,0.8774209944606383
