A,B,X,Y,Z,chiamate,evento,p0,p_cappuccio,significativo,timestamp,z
,,1766,1788,1766.0,24,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104666,0.9215159531615112
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104698,10.293571055719244
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104699,10.293571055719244
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104700,10.293571055719244
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104705,10.293571055719244
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104706,10.293571055719244
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104707,10.293571055719244
,,1766,1788,1766.0,12,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104732,0.9215159531615112
,,1766,1788,1766.0,12,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104737,0.9215159531615112
,,1788,1766,1788.0,4,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104738,10.293571055719244
,,1788,1766,1788.0,8,1B,0.0008223925749698945,0.01845627690311929,0.0,1469104740,10.293571055719244
,,1766,1788,1766.0,6,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104746,0.9215159531615112
,,1766,1788,1766.0,6,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469104751,0.9215159531615112
,,1832,1766,1832.0,4,1B,0.0004699386142685112,0.00014741435226133616,0.5229804855023092,1469115999,-0.05763542813464926
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1469129651,-0.665030441383231
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1469129652,-0.665030441383231
,,1935,2038,1935.0,2,1B,0.0009692483919288043,0.00011793148180906893,0.5498847166559071,1469191542,-0.12537008911085373
,,2040,1935,2040.0,2,1B,0.00020559814374247363,2.948287045226723e-05,0.5098000536176488,1469214235,-0.0245675626212051
,,2038,1935,2038.0,2,1B,0.0004993097776602931,0.00014741435226133616,0.5376488900062878,1469224061,-0.09451229018999137
,,1935,2038,1935.0,2,1B,0.0009692483919288043,0.00011793148180906893,0.5498847166559071,1469224209,-0.12537008911085373
,,1766,1788,1766.0,6,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469310197,0.9215159531615112
,,1766,1788,1766.0,6,1B,0.007430904338120833,0.016569373194174185,0.17839055805734594,1469310199,0.9215159531615112
,,1840,1766,1840.0,2,1B,2.937116339178195e-05,2.948287045226723e-05,0.4999883707557901,1469398181,2.9150192353287263e-05
,,1935,2018,1935.0,2,1B,0.001732898640115135,2.948287045226723e-05,0.5282759554633744,1469620310,-0.07093675715006116
,,1935,2038,1935.0,2,1B,0.0009692483919288043,0.00011793148180906893,0.5498847166559071,1469820361,-0.12537008911085373
,,2038,1935,2038.0,2,1B,0.0004993097776602931,0.00014741435226133616,0.5376488900062878,1469821599,-0.09451229018999137
,,1766,1843,1766.0,6,1B,0.0003524539607013834,0.00017689722271360342,0.5091388290841503,1470062830,-0.022909651251427927
,,1766,1843,1766.0,6,1B,0.0003524539607013834,0.00017689722271360342,0.5091388290841503,1470062831,-0.022909651251427927
,,1935,2039,1935.0,12,1B,0.0004993097776602931,0.0005306916681408102,0.4986272629609776,1470088915,0.0034409482658444594
,,1935,2039,1935.0,12,1B,0.0004993097776602931,0.0005306916681408102,0.4986272629609776,1470088919,0.0034409482658444594
,,2039,1935,2039.0,4,1B,0.0001762269803506917,0.00017689722271360342,0.4999169444863894,1470088995,0.00020818930028448265
,,2039,1935,2039.0,8,1B,0.0001762269803506917,0.00017689722271360342,0.4999169444863894,1470088996,0.00020818930028448265
,,1935,2039,1935.0,6,1B,0.0004993097776602931,0.0005306916681408102,0.4986272629609776,1470089029,0.0034409482658444594
,,1935,2039,1935.0,6,1B,0.0004993097776602931,0.0005306916681408102,0.4986272629609776,1470089031,0.0034409482658444594
,,1766,1810,1766.0,16,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1470145777,0.24787526792859904
,,1766,1810,1766.0,16,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1470145812,0.24787526792859904
,,1766,1810,1766.0,16,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1470145822,0.24787526792859904
,,1766,1810,1766.0,16,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1470145920,0.24787526792859904
,,1773,1766,1773.0,8,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470169277,0.27936333140863623
,,1773,1766,1773.0,8,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470169863,0.27936333140863623
